-1515, -723, -4256
-1558, -729, -4313
-1554, -725.333333, -4240.666667
-1613, -783, -4217
-1590.0, -741.947368, -4267.184211
-1611.153846, -752.307692, -4208.692308
-1661, -765.5, -4205
-1610.877863, -749.343511, -4239.419847
-1621, -745, -4289
-1642.431701, -753.896907, -4265.92268
-1639.625, -768.875, -4298.875
-1641.929204, -755.586283, -4234.132743
-1649.057143, -732.636735, -4291.808163
-1656.823529, -724.455882, -4229.485294
-1676.4, -720.8, -4321.4
-1661.235431, -727.745921, -4262.11655
-1685.5, -693.75, -4331.5
-1684.099315, -712.506849, -4291.493151
-1683.697856, -702.641326, -4263.329435
-1720.454955, -699.31982, -4271.916667
-1763, -664.5, -4243.5
-1708, -717, -4220
-1747.413333, -687.633333, -4246.806667
-1723.329571, -697.172686, -4237.384876
-1739.756821, -691.194543, -4206.263345
-1740.333333, -715.333333, -4139.333333
-1729.666667, -658.666667, -4165.333333
-1768.5, -670.5, -4165.75
-1742.300261, -685.114883, -4173.422977
-1720, -702.25, -4155.25
-1742.010601, -682.975265, -4142.29682
-1705, -637, -4111
-1741, -626, -4077.5
-1723.372093, -679.0, -4107.093023
-1748.839228, -669.049839, -4094.842444
-1745.586196, -657.564249, -4058.884542
-1704, -716, -4092
-1742.666667, -718.666667, -4071.333333
-1746.262183, -660.889499, -4026.116221
-1720.018905, -695.084746, -4035.830508
-1828, -677, -4232
-1688.5, -705.5, -3891
-1709.338983, -725.237288, -3999.118644
-1737, -664, -3950
-1725.881238, -692.620734, -4003.469665
-1751, -736, -3908
-1720.148389, -709.99552, -3974.973597
-1734, -743, -3945
-1701, -718, -3920
-1727.210526, -710.276316, -3913.710526
-1715.893631, -718.644334, -3945.233251
-1693, -725, -3972
