-9272, 7416, -3500
-25836, -592, -7388
-19360, -32768, 2132
-16816, -7070, -9446
-15474, -12564, -7806
-30820, -10092, 23016
-32768, -624, -30640
-26892, -10184, 18560
136, -26972, 6160
-4856, -23536, -17400
-12849.5, -3038, 1889.5
-19088, -32768, -7972
-5864, -4764, -7480
-2918, -13060, -4920
-30416, -5876, -4524
-12856, -19724, 13348
-21392, -2378, -11812
-584, -11641.333333, 749.333333
-8008, -8372, -13348
-19792, -17352, 7712
-12100, -6372, 14304
-23000, -15204, -15716
-12926, -5270, -20838
-19276, -14912, 26548
-18572, -8772, -19232
-5320.8, -4040, -1678.4
-7783, -18502, -3032
-31246.666667, -5209.333333, -16814.666667
-16944, -21448, -248
-18340, -12580, 10836
-22484, -7268, 12448
-15044.363636, -9421.090909, 197.454545
-16259.111111, 634.666667, -3632
-15900, 172, 14192
-9434.666667, -18294.666667, 8189.333333
-7448, -248, 10788
-24980, -11592, 28140
-32768, 7112, 124
12192, -25716, 4868
10528, -26988, -2996
-6184, -7152, 13352
-8690.666667, -10025.333333, 7348
-22760, -26704, 2836
10028, -32768, 2180
-26172, -31252, -2592
-32358.666667, -23534.666667, 17774.666667
-4842, -20316, 4692
-32768, -32768, 32392
2436, -19932, 4320
7716, -15840, 15008
-8608, -1220, 19856
6716, -32768, 28484
-1052, 3192, 23084
-572, -144, 10604
-3644.0, -1126.782609, 15579.826087
718.717949, 5007.153846, 15347.358974
